Student Support Services(SSS) Grantees,Zipcode
Arizona State University/ Tempe,
Arizona State University/ West,
Arizona Western College,85365-8834
AZ Board of Regents on behalf of Arizona State University,
AZ Board of Regents on behalf of Arizona State Univsersity,
AZ Board of Regents on behalf of Arizona State Univsersity,
"Board of Regents, the University of Arizona",
Central Arizona College,85128
Cochise College/ Douglas,
Coconino Community College,
Gateway Community College,06510
Mesa Community College,85202
Mesa Community College,85202
Northern Arizona University/ Flagstaff,
Pima County Community College/ Desert Vista,
Pima County Community College/ Desert Vista,
Pima County Community College/ East,
University of Arizona,85721-0066
Yavapai Community College,
Allan Hancock Community College,
American River College,95841-4286
American River College,95841-4286
American River College,95841-4286
Antelope Valley College,93536-5426
Azusa Pacific University,91702
"Butte College, Butte-Glenn Community College District",
"Butte College, Butte-Glenn Community College District",
"Cal Poly Pomona Foundation, Inc.",
California Lutheran University,91360
California Polytechnic Corporation,
California State Polytechnic University/ Pomona,
California State University/ Chico,
California State University/ Dominguez Hills,
California State University/ Dominguez Hills,
California State University/ East Bay,
California State University/ East Bay,
California State University/ Fresno,
California State University/ Fresno Foundation,
California State University/ Fresno Foundation,
California State University/ Fullerton,
California State University/ Long Beach Research Foundation,
California State University/ Long Beach Research Foundation,
California State University/ Long Beach Research Foundation,
California State University/ Monterey Bay,
California State University/ Monterey Bay,
California State University/ Northridge,
California State University/ San Bernardino,
California State University/ San Marcos Corporation,
California State University/ Stanislaus,
Chabot-Las Positas Community College District,
Chabot-Las Positas Community College District/ Chabot College,
Chabot-Las Positas Community College District/ Chabot College,
Citrus Community College District,
Clovis Community College Center,
Clovis Community College Center,
College of the Desert,92260
College of the Desert,92260
College of the Desert,92260
College of the Siskiyous,96094-2899
Cosumnes River College,95823-5799
Cosumnes River College,95823-5799
Feather River Community College District,
Fresno City College,93741
Fresno City College,93741
Hartnell Community College District,
Hartnell Community College District,
Humboldt State University,
Imperial Community College District,
Kern Community College District obo Bakersfield College,
Lassen Community College District,
Long Beach Community College District,
Los Angeles City College,90029
Los Angeles Harbor,
Los Angeles Mission College,91342-3245
Los Angeles Southwest College,90047-4899
Los Angeles Southwest College,90047-4899
Los Angeles Valley College,91401-4062
Loyola Marymount University,90045-2659
Madera Community College Center,
Mission College,95054-1897
Mission College,95054-1897
Modesto Junior College,95350-5800
Monterey Peninsula College,93940-4799
Mount St. Mary's College,
Mt. San Antonio Community College District,
Napa Valley Community College District,
Palo Verde Community College District,
Palomar Community College District,
Pasadena City College,91106-2003
Rancho Santiago CCD/ Santa Ana College,
Rancho Santiago CCD/ Santiago Canyon College,
Rancho Santiago CCD/ Santiago Canyon College,
Redwoods Community College District,
Redwoods Community College District,
Reedley College,93654
Reedley College,93654
Reedley College,93654
Rio Hondo College,90601-1699
Rio Hondo College,90601-1699
Riverside Community College District,
Riverside Community College District/ Moreno Valley College,
Riverside Community College District/ Norco College,
Riverside Community College District/ Riverside City College,
Riverside Community College District/ Riverside City College,
Riverside Community College District/ Riverside City College,
Riverside Community College District/Norco College,
Saint Mary's College of California,94556
San Bernardino Community College District,92401
San Diego Mesa College,92111-4998
San Diego State University,92182-8000
San Francisco Community College District,
San Francisco State University,94132
San Francisco State University,94132
San Jose State University,95192-0001
San Mateo County Community College District/ Canada College,
San Mateo County Community College/ Skyline College,
Santa Ana College/ Rancho Santiago,
Santiago Canyon College,92869-4512
Shasta Tehama Trinity Community College District,
Sierra Joint Unified College District,
Simpson University,96003-8606
Sonoma State University,94928-3609
Sonoma State University,94928-3609
The Regents of the University of California,
University of California,
University of California/ Berkeley,
University of California/ Berkeley,
University of California/ Davis,
University of California/ La Jolla,
University of California/ Riverside,
University of the Pacific,95211
Ventura County Community College District,
West Hills College Coalinga/ West Hills College Firebaugh,
West Los Angeles College,90230-3519
West Valley College,95070
Woodland Community College,95776
Woodland Community College,95776
Yosemite Community College District,
Yuba Community College District,
Yuba Community College District,
Adams State University,81102
Aims Community College,80632
Aims Community College,80632
Board of Trustees of the University of Northern Colorado,
Colorado Mesa University,81501-3122
Colorado Mesa University,81501-3122
Colorado Mountain College,81601
Colorado Mountain College,81601
Colorado State University,80523
Colorado State University,80523
Colorado State University/ Pueblo,
Community College of Aurora,80011-9036
Community College of Aurora,80011-9036
Community College of Denver,80204-2026
Fort Lewis College,81301-3999
Fort Lewis College,81301-3999
Front Range Community College,80031
Front Range Community College,80031
Metropolitan State College of Denver,
Northeastern Junior College,80751
Otero College,81050
Pikes Peak Community College,80903
Pueblo Community College,81004
Red Rocks Community College,80228-1255
SBCCOE for the Use and Benefit of Arapahoe Community College,
Trinidad State Junior College,81082
Trinidad State Junior College/ Valley,
University of Colorado/ Boulder,
University of Colorado/ Denver,
Central Connecticut State University,06050
Central Connecticut State University,06050
Community Technical College Manchester,
Norwalk Community College,06854
University of Bridgeport,06604-5620
University of Connecticut,06269-2048
University of Delaware,19716
Board of Trustees of St. Petersburg College,
Broward College,33301
Broward College,33301
Broward College/ A. Hugh Adams Central,
Broward College/ Judson A. Samuels South,
Broward College/ North,
Chipola College,32446-2053
College of Central Florida,34474
Daytona State College,32114
Eastern Florida State College,32922
"Edward Waters College, Inc.",
Florida A&M University,
Florida Gateway College,32025
Florida Gulf Coast University,33965-6565
Florida Gulf Coast University,33965-6565
Florida International University,33199
Florida State College/ Jacksonville,
Florida State University,32306-1470
Florida State University,32306-1470
Gulf Coast State College,32401
Health Sciences Pathway of Broward College,
Hillsborough Community College,33614
Indian River State College,34981-5596
Miami Dade College/ Homestead,
Miami Dade College/ North,
Palm Beach State College,33461-4796
Palm Beach State College,33461-4796
Pensacola State College,32504-8998
Pensacola State College,32504-8998
Polk State College,33881-4299
Santa Fe College,32606
Santa Fe College,32606
Santa Fe College,32606
State College of Florida/ Manatee-Sarasota,
University of Central Florida,32816
University of Central Florida,32816
University of Florida,32611
University of South Florida/ Tampa,
University of West Florida,
Atlanta Metropolitan College,
Atlanta Metropolitan College,
Berry College,30149
Corporation of Mercer University,
Fort Valley State University,31030-4313
Georgia Perimeter College/ Clarkston,
Georgia Perimeter College/ Decatur,
Georgia Southern University/ Armstrong,
Georgia State University,30302-3083
Georgia State University,30302-3083
Georgia State University,30302-3083
"Georgia State University Research Foundation, Inc.",
"Georgia State University Research Foundation, Inc.",
Mercer University,31207
Paine College,30901-3182
Savannah State University,31404
University of Georgia,30602
University of Georgia,30602
University of Guam,96923
University of Hawaii,
University of Hawaii,
University of Hawaii,
University of Hawaii,
University of Hawaii/ Kapiolani Community College,
University of Hawaii/ Manoa,
University of Hawaii/ Maui Community College,
Briar Cliff University,51104
Central College,50219
Coe College,52402-5092
Des Moines Area Community College,50023-3993
Eastern Iowa Community College District,52801
Graceland University,50140
Indian Hills Community College,52501
Iowa Central Community College,50501
Iowa Lakes Community College,51334
Iowa State University,
Iowa Valley Community College District,50158
Iowa Valley Community College District,50158
Iowa Western Community College,51502
Kirkwood Community College,52406-2068
Kirkwood Community College,52406-2068
Luther College,52101-1045
North Iowa Area Community College,50401
Northeast Iowa Community College,52132-0400
Northwest Iowa Community College,51201
Simpson College,50125
Southeastern Community College,52655-0180
Southwestern Community College,50801
University of Dubuque,52001
University of Iowa,52242-1316
Western Iowa Tech Community College,51102-5199
Western Iowa Tech Community College,51102-5199
Boise State University,83725
Boise State University,83725
Boise State University,83725
Boise State University,83725
Boise State University,83725
Idaho State University,83209
North Idaho College,83814-2199
University of Idaho,83844-2282
Augustana College,61201-2296
Black Hawk College,61265-5899
Carl Sandburg College,61401
College of Lake County/ Grayslake & Lakeshore,
Columbia College Chicago,60605-1996
Community College District #522,
Danville Area Community College,61832
Depaul University,
Dominican University,60305
Eastern Illinois University,61920
Elgin Community College,60123-7193
Elgin Community College,60123-7193
Harold Washington College,
Harry S Truman College,60640
Heartland Community College,61761
Highland Community College,61032-9341
Illinois Central College,61635-0001
Illinois College,62650-2299
Illinois Eastern Community Colleges,62450
Illinois State University,61790-1000
Illinois Valley Community College,61348
John A. Logan College,62918
John Wood Community College,62305-8736
Joliet Junior College,60431
Kankakee Community College,60901
Kaskaskia College,62801
Kishwaukee College,60150-9699
Knox College,61401
Lake Land College,61938
Lincoln Land Community College,62056
Loyola University/ Chicago,
Malcolm X College,
Moraine Valley Community College,60465-0937
Northeastern Illinois University,60625
Northeastern Illinois University,60625
Northeastern Illinois University,60625
Northern Illinois University,60115-2828
Oakton Community College/ Skokie & Des Plaines,
Parkland College,61821-1899
Prairie State College,60411-8200
Rend Lake College,62846
Rock Valley College,61114
Rock Valley College,61114
Roosevelt University,60605-1394
Saint Xavier University,60655
Sauk Valley Community College,61021
Shawnee Community College,62992
Southeastern Illinois College,62946
Southern Illinois University/ Carbondale,
Spoon River College,61520-9801
The Board of Trustees of the University of Illinois,
Triton College,60171
University of Illinois/ Urbana-Champaign,
Waubonsee Community College,60554-0901
Indiana Wesleyan University,46953-4974
Ivy Tech Community College of Indiana dba Ivy Tech Richmond,
Ivy Tech Community College/ Coliseum & North,
Ivy Tech Community College/ Indianapolis,
Ivy Tech Community College/ Northwest,
Purdue University,47907-2040
Purdue University,47907-2040
Purdue University,47907-2040
Trustees of Indiana University,
Trustees of Indiana University,
University of Saint Francis,
University of Southern Indiana,47712
Vincennes University,47591
Vincennes University,47591
Barton County Community College,67530
Cloud County Community College,66901-1002
Colby Community College,67701
Cowley County Community College & Area Vocational Technical,
Dodge City Community College,67801-2399
Donnelly College,66102
Emporia State University,66801
Fort Scott Community College,66701
Garden City Community College,67846-6333
Haskell Indian Nations University,66046-4800
Highland Community College,61032-9341
Independence Community College,67301-0708
Kansas State University,66506
Kansas State University/ Salina,
Labette Community College,67357
Neosho County Community College,66720
Seward County Community College,67905
"University of Kansas Center for Research, Inc.",
"University of Kansas Center for Research, Inc.",
Wichita State University,67260-0124
Wichita State University,67260-0124
Wichita State University/ Campus of Applied Sciences and Tech,
Ashland Community & Technical College,
Berea College,40404-2182
Bluegrass Community & Technical College,
Bluegrass Community & Technical College/ Danville,
Eastern Kentucky University,40475-3102
Elizabethtown Community & Technical College,
Gateway Community & Technical College,
Hopkinsville Community College/ KCTCS,
Kentucky State University,40601
Madisonville Community College,42431-9199
Maysville Community & Technical College,
Morehead State University,40351
Murray State University,42071-3318
Northern Kentucky University Research Foundation,
Owensboro Community & Technical College,
Somerset Community College,42501-2973
Southcentral Kentucky Community and Technical College,42101-9202
Southeast Kentucky Community & Technical College,
Union College,40906-1499
University of Kentucky,40506-0032
University of Louisville,40292-0001
University of Pikeville,41501
Western Kentucky University,42101-1000
Western Kentucky University,42101-1000
Delgado Community College,70119
Dillard University,70122
Louisiana State University and A&M College,70808
Loyola University New Orleans,70118-6143
Northwestern State University,
River Parishes Community College,70778
Southeastern Louisiana University,70402
Southern University/ New Orleans,
Southern University/ Shreveport,
University of Louisiana/ Lafayette,
University of Louisiana/ Lafayette,
University of Louisiana/ Lafayette,
University of Louisiana/ Lafayette,
University of Louisiana/ Monroe,
University of Lousiana/ Lafayette,
University of New Orleans,70148
Berkshire Community College,01201-5786
Boston College,02467
Brandeis University,02453-2700
Bunker Hill Community College,02129-2925
Cape Cod Community College,02668-1599
Fitchburg State University,01420-2697
Holyoke Community College,01040
Holyoke Community College,01040
Massachusetts College of Liberal Arts,01247-4100
Massasoit Community College/ Brockton & Canton,
Middlesex Community College,01730-1120
Middlesex Community College,01730-1120
Mount Wachusett Community College,01440-1000
Mount Wachusett Community College,01440-1000
Mount Wachusett Community College,01440-1000
North Shore Community College,01923-0840
Northern Essex Community College,01830-2399
Quinsigamond Community College,01606-2092
Salem State College,
Springfield Technical Community College,01102-9000
University of Massachusetts/ Boston,
University of Massachusetts/ Dartmouth,
Westfield State College,
Allegany College/ Maryland,
Baltimore City Community College,21215-7893
Chesapeake College,21679-0008
Chesapeake College,21679-0008
Community College of Baltimore County,
Community College of Baltimore County,
Frostburg State University,21532-1099
Hagerstown Community College,21742-6590
Montgomery College,20850
Prince George's Community College,20774-2199
Salisbury University,21801-6837
University of Maryland/ College Park,
Wor-Wic Community College,21804-7131
Central Maine Community College,04210-6498
Central Maine Community College,04210-6498
Eastern Maine Community College,04401
Kennebec Valley Community College,04937-1367
Northern Maine Community College,04769
Southern Maine Community College,04106
Southern Maine Community College,04106
Thomas College,04901
University of Maine/ Augusta,
University of Maine/ Farmington,
University of Maine/ Fort Kent,
University of Maine/ Orono,
University of Maine/ Presque Isle,
University of Southern Maine,04104
University of Southern Maine,04104
Washington County Community College,04619
Adrian College,49221-2575
Albion College,49224
Aquinas College,49506-1799
Bay De Noc Community College,
Bay Mills Community College,49715
Calvin University,49546
Eastern Michigan University,48197
Eastern Michigan University,48197
Finlandia University,49930-1882
Glen Oaks Community College,49032-9719
Gogebic Community College,49938
Grand Rapids Community College,49503-3295
Grand Rapids Community College,49503-3295
Grand Valley State University,49401-9403
Grand Valley State University,49401-9403
Grand Valley State University,49401-9403
Jackson College,49201-8399
Kellogg Community College,49017-3397
Lake Michigan College,49022-1899
Madonna University,48150-1173
Michigan State University,48824
Mid Michigan Community College,
Mott Community College,48503
Northern Michigan University,49855
Regents of the University of Michigan,
Saginaw Valley State University,48710
Siena Heights University,49221
St. Clair County Community College,
University of Detroit Mercy,48221-3038
Wayne County Community College District,48226
Wayne State University,48202
Wayne State University,48202
Western Michigan University,49008-5167
Western Michigan University,49008-5167
Anoka Ramsey Community College/ Coon Rapids,
Anoka-Ramsey Community College,55008
Augsburg College,
Bemidji State University,56601
Carleton College,55057-4001
Central Lakes College,56401
Century College,55110
Century College,55110
"College of St. Scholastica, Inc.",
Dakota County Technical College,55068-2999
Fond du Lac Tribal and Community College,55720
Hennepin Technical College,55347
Hennepin Technical College,55347
Inver Hills Community College,55076
Lake Superior College,55811-3399
Metropolitan State University,55106-5000
Metropolitan State University,55106-5000
Metropolitan State University,55106-5000
Minneapolis Community & Technical College,
Minneapolis Community & Technical College,
Minneapolis Community & Technical College,
Minnesota State University/ Mankato,
Normandale Community College,55431
North Hennepin Community College,55445
North Hennepin Community College,55445
Northeast Higher Education District,
Regents of the University of Minnesota,
Ridgewater College,56201
Riverland Community College,55912
Rochester Community & Technical College,
Saint Paul College,55102-1807
South Central College,56003-1920
St. Catherine University,55105
St. Cloud State University,
St. Cloud Technical College,56303
St. Olaf College,55057-1098
St. Olaf College,55057-1098
University of Minnesota,
Winona State University,55987-5838
Winona State University,55987-5838
Avila University,64145-1698
Columbia College,95370
Crowder College,64850
Crowder College,64850
Crowder College/ Cassville,
Crowder College/ Nevada,
Harris-Stowe State University,63103
Jefferson College District of Jefferson County,
Junior College District of Metropolitan/ Kansas City,
Mineral Area College,63601-1000
Missouri Southern State University,64801-1595
North Central Missouri College,64683
Northwest Missouri State University,64468-6001
Southeast Missouri State University,63701-9980
St. Louis Community College/ Florissant Valley,
St. Louis Community College/ Forest Park,
St. Louis Community College/ Meramec,
State Fair Community College,65301-2188
The Curators of the University of Missouri on behalf of UMSL,
Three Rivers Community College,06360
University of Missouri/ Columbia,
Washington University in St. Louis,
Alcorn State University,39096-7500
Copiah-Lincoln Community College,39191
Hinds Community College,39154
Holmes Community College,39079
Jackson State University,39217
Jackson State University,39217
Jackson State University,39217
Mississippi State University,39762
Mississippi Valley State University,38941-1400
Northwest Mississippi Community College,38668-1714
Pearl River Community College,39470
University of Southern Mississippi,39406-0001
Aaniiih Nakoda College,59526-0159
Chief Dull Knife College,59043
Flathead Valley Community College,59901
Fort Peck Community College/ Wolf Point,
Montana State University Billings,
Montana State University Billings,
Montana State University/ Bozeman,
Montana State University/ Northern,
Montana Tech of the University of Montana,
Rocky Mountain College,59102-1796
Salish Kootenai College,59855
The University of Montana/ Helena College of Technology,
University of Great Falls,
University of Montana,
University of Montana Western,
Alamance Community College,27253-8000
Appalachian State University,28608
Beaufort County Community College,27889
Caldwell Community College & Technical Institute,
Carteret Community College,28557-2989
Central Carolina Community College,27330
Central Carolina Community College,27330
Central Piedmont Community College,28235-5009
Cleveland Community College,28152
Craven Community College/ New Bern & Havelock,
Davidson County Community College/ Davidson,
Elizabeth City State University,27909
Fayetteville State University,28301-4298
Fayetteville State University,28301-4298
Forsyth Technical Community College,27103-5197
Gaston College,28034
Halifax Community College,27890
James Sprunt Community College,28349
Johnson C. Smith University,
Johnston Community College,27577-2350
Livingstone College,28144
Mars Hill University,28754
Mayland Community College,28777
North Carolina Agricultural & Technical State University,
North Carolina Central University,27707
North Carolina Central University,27707
North Carolina State University,27607
North Carolina State University,27607
Pitt Community College,28590
Roanoke/ Chowan Community College,
Rockingham Community College,27375-0038
Rowan-Cabarrus Community College,28146-1595
Saint Augustine's College,
Southwestern Community College/ Jackson,
The University of North Carolina at Greensboro,
The University of North Carolina/ Greensboro,
University of North Carolina/ Pembroke,
Western Piedmont Community College,28655-4511
Wilkes Community College,28697
Wilson Community College,27893-3310
Lake Region State College,58301-1598
Minot State University,58707
Minot State University,58707
North Dakota State University,58105
Turtle Mountain Community College,58316
University of Mary,58504
University of North Dakota,58202-8193
Central Community College,68802-4903
Chadron State College,69337-2690
Creighton University,68178
Doane College,68045
Metropolitan Community College,68111
Nebraska Methodist College of Nursing & Allied Health,
Northeast Community College,68702-0469
Peru State College,68421-0010
Southeast Community College Area,68520-1299
University of Nebraska/ Kearney,
University of Nebraska/ Lincoln,
University of Nebraska/ Omaha,
Wayne State College,68787
Western Nebraska Community College,69361-1899
Keene State College,03435-1504
Keene State College,03435-1504
Plymouth State University,03264
Saint Anselm College,03102-1310
University of New Hampshire,03824-3547
Atlantic Cape Community College/ Mays Landing Main,
Bloomfield College,07003
Camden County College,08012
Cumberland County College,08362-1500
Georgian Court University,08701-2697
New Jersey City University,07305
Ocean County College,08754-2001
Passaic County Community College,07505-1179
Passaic County Community College,07505-1179
Passaic County Community College,07505-1179
Ramapo College of New Jersey,07430-1680
Rider University,08648-3099
Rutgers University,
Rutgers University/ Newark,
"Rutgers, The State University of New Jersey / Camden",
Saint Peter's University,07306-5997
Seton Hall University,07079-2697
Central New Mexico Community College,87106
Central New Mexico Community College/ Main,
Clovis Community College,88101-8381
Eastern New Mexico University,88130
Eastern New Mexico University/ Roswell,
New Mexico Junior College,88240
New Mexico State University,88003-8001
New Mexico State University,88003-8001
San Juan College,87402-4699
San Juan College,87402-4699
Santa Fe Community College,87508-4887
The University of New Mexico/ Valencia Branch,
University of New Mexico,87131
University of New Mexico,87131
University of New Mexico/ Gallup,
"Board of Regents, NSHE, obo University of Nevada, Reno",
"Board of Regents, NSHE, obo, Truckee Meadows Community College",
College of Southern Nevada,89146-1164
Nevada State College,
University of Nevada/ Las Vegas,
University of Nevada/ Las Vegas,
University of Nevada/ Reno,
Adirondack Community College,12804
Cazenovia College,13035
Clarkson University,13699-5557
College of Mount Saint Vincent,
CUNY/ Kingsborough Community College,
CUNY/ Lehman College,
CUNY/ Lehman College,
CUNY/ Medgar Evers College,
CUNY/ Queens College,
Dutchess Community College,12601-1595
Fulton Montgomery Community College,12095-3790
Fulton Montgomery Community College,12095-3790
IONA COLLEGE,
Jefferson Community College,13601-1897
Marist College,12601
Medaille College,
Mercy College/ Dobbs Ferry & Bronx,
Molloy College,
Monroe Community College,14623
New York University,10012-1091
Onondaga Community College,13215-4585
Orange County Community College,10940
Paul Smith's College,
Schenectady County Community College,12305
St. John Fisher College,
St. John's University,11439
Suffolk County Community College,11784-2899
SUNY College at Old Westbury,
SUNY/ Binghamton University,
SUNY/ Buffalo,
SUNY/ College of Technology/ Canton,
SUNY/ Farmingdale State College,
SUNY/ Plattsburgh,
SUNY/ Potsdam,
SUNY/ Rockland Community College,
Syracuse University,13244-2130
The Research Foundation for SUNY on behalf of SUNY Geneseo,
The Research Foundation for the State University of New York,
Trocaire College,14220-2094
Ulster County Community College,12484
Ulster County Community College,12484
University of Rochester,14627
Utica College,
Wells College,13026-0500
Westchester Community College,10595-1636
Bowling Green State University,43403
Central State University,45384-1004
Cincinnati State Technical & Community College,
Clark State Community College,
Cleveland State University,44115-2214
Columbus State Community College,43215
Columbus State Community College,43215
Cuyahoga Community College District,
Cuyahoga Community College District,
Cuyahoga Community College District,
Eastern Gateway Community College/ Jefferson County,
Hocking Technical College,
Kent State University,44242-0001
Lourdes College,
Miami University,45056
North Central State College,44901-0698
Northwest State Community College,43502
Notre Dame College of Ohio,
Owens State Community College,43551
Sinclair Community College/ Dayton,
Stark State College of Technology,
The Ohio State University,
University of Cincinnati,45221-0063
University of Toledo,43606-3390
Xavier University,45207-1092
Zane State College,43701-9938
Cameron University,73505
Carl Albert State College/ Poteau & Sallisaw,
Connors State College,74469
East Central University,74820
East Central University,74820
Eastern Oklahoma State College,74578
Langston University,73050
Murray State College,73460
Northeastern Oklahoma A&M College,74354
Northeastern State University,74464
Northwestern Oklahoma State University,73717-2799
Oklahoma City Community College,73159-9987
Oklahoma State University,73107
Oklahoma State University/ Oklahoma City,
Redlands Community College,73036-5304
Rogers State University,74017-3252
Rose State College,73110-2799
Seminole State College,74868-1901
Seminole State College,74868-1901
Southeastern Oklahoma State University,74701
Southeastern Oklahoma State University,74701
Southern Nazarene University,73008
Tulsa Community College,74119-2095
University of Central Oklahoma,73034
University of Central Oklahoma,73034
University of Central Oklahoma,73034
University of Central Oklahoma,73034
University of Central Oklahoma,73034
University of Central Oklahoma,73034
Western Oklahoma State College,73521-1397
Blue Mountain Community College,97801
Chemeketa Community College,97305
Chemeketa Community College,97305
Clatsop Community College,97103
Klamath Community College,97603-7121
Lane Community College,97405-0640
Lane Community College,97405-0640
Mt. Hood Community College,97030
Oregon Institute of Technology,97601-8801
Oregon State University,97331
Oregon State University,97331
Oregon State University,97331
Portland Community College/ Cascade,
Portland State University,97201
Portland State University,97201
Rogue Community College District,
Rogue Community College District,
Southern Oregon University,97520
Southwestern Oregon Community College,97420-2193
Umpqua Community College,97470-0226
University of Oregon,97403
Western Oregon University,97361-1394
Western Oregon University,97361-1394
Bloomsburg University of Pennsylvania,
California University of Pennsylvania,
Carlow University,15213-3165
Cheyney University of Pennsylvania,19319-0200
Cheyney University of Pennsylvania,19319-0200
Clarion University of Pennsylvania,16214
Commonwealth Technical Institute/ Hiram G. Andrews Center,
Community College of Philadelphia,19130-3991
Gannon University,16541
Harcum College,19010-3470
Kutztown University,
Lock Haven University of Pennsylvania,17745-2390
Mansfield University of Pennsylvania,16933
Neumann University,19014-1298
Pennsylvania Institute of Technology,19063-4098
Pennsylvania State University/ University Park,
Pennsylvania State University/ University Park,
Reading Area Community College,19603-1706
Saint Vincent College,
Seton Hill University,15601
Susquehanna University,17870-1025
University of Pennsylvania,19104-6303
University of Pittsburgh,
University of Pittsburgh / Bradford,
Westminster College,65251-1299
Westmoreland County Community College,15697-1895
American University of Puerto Rico,00960-2037
Inter American University of Puerto Rico/ Aguadilla,
Inter American University of Puerto Rico/ Baranquitas,
San Juan University College,
Universidad Adventista De Las Antillas,
Universidad Adventista De Las Antillas,
Universidad Ana G. Mendez/ Cupey,
Universidad Del Sagrado Corazon,
Universidad del Sagrado Corazon,
Universidad Del Turabo/ Gurabo,
Universidad Politecnica De Puerto Rico,
Universidad Politecnica De Puerto Rico,
Universidad Politecnica De Puerto Rico/ San Juan,
University of Puerto Rico,
University of Puerto Rico/ Arecibo,
University of Puerto Rico/ Humacao,
Community College of Rhode Island,02886-1807
Community College of Rhode Island,02886-1807
Community College of Rhode Island,02886-1807
Rhode Island College,02908
Rhode Island College,02908
Central Carolina Technical College,29150-2499
Claflin University,29115-4498
Clinton College,29730
Coker University,29550
Florence-Darlington Technical College,29501-0548
Greenville Technical College,29607-2416
Horry-Georgetown Technical College,29526
Lander University,29649-2099
Midlands Technical College/ Airport and Beltline,
Morris College,29150-3599
Orangeburg-calhoun Technical College,
Piedmont Technical College,29646
South Carolina State University,29117-0001
Spartanburg Community College,29305
Technical College of the Low country,
Trident Technical College,29423-8067
University of South Carolina,
University of South Carolina/ Columbia,
University of South Carolina/ Lancaster,
University of South Carolina/ Salkehatchie,
University of South Carolina/ Spartanburg-Upstate,
Voorhees College,
Winthrop University,29733
York Technical College,29730
York Technical College/ Rock Hill,
Black Hills State University,57799-9500
Dakota Wesleyan University,57301-4398
Northern State University,57401-7198
Oglala Lakota College,57752-0490
South Dakota State University,57007-1898
University of South Dakota,57069-2390
Austin Peay State University,37044
Columbia State Community College,38401
Dyersburg State Community College,38024-2411
Dyersburg State Community College,38024-2411
East Tennessee State University,37614-1700
East Tennessee State University,37614-1700
Fisk University,37208-4501
Lee University,37320-3731
Lincoln Memorial University,37752-9900
Maryville College,37804-5907
Middle Tennessee State University,37132
Northeast State Community College,37617-0246
Pellissippi State Community College,37933-0990
Tusculum College,
Tusculum College,
University of Memphis,38152
University of Memphis,38152
University of Tennessee/ Chattanooga,
Volunteer State Community College,37066-3188
Abilene Christian University,79699
Amarillo College,79107
Amarillo College/ West,
Austin Community College,78752
College of the Mainland,77591-2499
Dallas County Community College District/ Eastfield College,
Del Mar College,78404-3897
El Paso Community College,
Frank Phillips College,79008-5118
Galveston College,77550-7496
Grayson County Junior College District,
Houston Baptist University,
Kilgore Junior College District,
Laredo Community College,
Lee College,77520
Lone Star College System,77381-4399
Lone Star College System,77381-4399
Lone Star College System,77381-4399
Lone Star College System/ North Harris,
Lone Star College System/ Tomball,
McLennan County Junior College District,
McMurry University,79697
Midwestern State University,76308-2099
Mountain View College,75211-6599
Navarro College,75110
North Central Texas College,76240-4699
North Lake College,75038-3899
Palo Alto College,78224-2499
Paris Junior College,75460
Paul Quinn College,75241
Ranger College,76470
Richland College,75243-2199
Sam Houston State University,77341
Sam Houston State University,77341
San Antonio College,78212-4299
San Antonio College,78212-4299
South Plains College,79336
Southwest Texas Junior College,
St. Mary's University Texas,
Sul Ross State University,79832
Tarleton State University,76402-0000
Tarrant County College,
Tarrant County College District/ Trinity River,
Texarkana College,75599
